row1:
  group1: 8241160, 23.05.01, 25, , , , , СТС, , 
  group2: 1241160, 23.05.01, 25, , , , , ААДиД, , 
  group3: 1241105, 13.03.03, 20, , , , , ААДиД, , 
  group4: 1241107, 22.03.01, 20, , , , , МТК, , 
  group5: 1241109, 15.03.01, 20, , , , , МС, , 
  group6: 8241111, 15.03.05, 20, , , , , КТОМП, , 
  group7: 1241117, 23.03.03, 20, , , , , ЭАТ, , 
  group8: 1241116, 23.03.03, 20, , , , , ЭАТ, , 
  group9: 1241121, 23.03.01, 20, , , , , СТС, , 
  group10: 2241125, 09.03.02, 29, , , , , СТС, , 
  group11: 1241133, 43.03.01, 25, , , , , СТС, , 
  group12: 2241101, 01.03.02, 20, , , , , ИС, , 
  group13: 8241117, 09.03.01, 28, , , , , ИС, , 
  group14: 2241121, 09.03.04, 35, , , , , ИС, , 
  group15: 3241101, 08.03.01, 20, , , , , Стр-во, , 
  group16: 3241102, 08.03.01, 20, , , , , Стр-во, , 
  group17: 3241111, 20.03.01, 20, , , , , ХиЭ, , 
  group18: 3243101, 08.03.01, 20, , , , , Стр-во, , 
  group19: 3243201, 08.03.01, 23, , , , , Стр-во, , 
  group20: 3243202, 08.03.01, 23, , , , , Стр-во, , 
  group21: 8241104, 13.03.01, 20, , , , , ВЭПиА, , 
  group22: 2241105, 13.03.02, 20, , , , , ЭЭиЭТ, , 
  group23: 8241106, 13.03.02, 20, , , , , ЭЭиЭТ, , 
  group24: 2241110, 15.03.02, 20, , , , , ВЭПиА, , 
  group25: 2241113, 15.03.04, 20, , , , , АиУ, , 
  group26: 2241115, 15.03.04, 20, , , , , АиУ, , 
  group27: 2241116, 16.03.03, 20, , , , , ВЭПиА, , 

row2:
  group1: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group2: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн, Преподаватель, , 
  group3: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group4: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group5: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group6: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group7: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group8: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group9: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group10: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group11: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group12: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group13: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group14: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group15: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group16: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group17: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group18: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group19: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group20: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group21: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group22: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group23: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group24: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group25: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
  group26: Дисциплина, Здание, АУД.1, АУД.2, Вид, Вед. каф, Должн., Преподаватель, , 
